SubDepartment_Id	UI_SubDepartment_Name	Department_Id	Department_Name	Specialities
705570	Abortion-DNC	705448	Gynaecology	
705571	ACL/PCL-Injuries	705446	Orthopaedic	
705572	Adenoidectomy	705455	ENT	
705573	Appendicitis	705450	Laparoscopy	
705574	Arota	705453	Vascular	
705575	Arthoscopy	705446	Orthopaedic	
705576	Arthritis	705446	Orthopaedic	
705577	Arthroscopy	705446	Orthopaedic	
705578	AV-Fistula	705453	Vascular	
705579	Bariatric-Surgery	705450	Laparoscopy	
705580	Barrage Laser	705454	Ophthalmology	
705581	Bartholins Cysts	705448	Gynaecology	
705582	Bladder Disorders	705452	Urology	
705583	Bladder stones	705452	Urology	
705584	Brain tumor	705469	Neurology	Neurosurgery|Surgical Oncology|Oncology
705585	Breast cancer	705447	Oncology	
705586	Breast Conditions	705448	Gynaecology	
705587	Breast Implants	705458	Aesthetic	Plastic Surgery
705588	Breast reduction	705458	Aesthetic	Plastic Surgery
705589	Breast-Augmentation	705458	Aesthetic	Plastic Surgery
705590	Breast-Surgery	705459	General Surgery	
705591	Bridges	705465	Dental	
705592	Ca Prostate	705447	Oncology	
705593	Cardiology	705449	Cardiology	
705594	Cardiovascular Diseases	705449	Cardiology	
705595	Carotid Artery Stenosis	705453	Vascular	
705596	Cataract	705454	Ophthalmology	
705597	Cerebrovascular Disorders	705451	Neurosurgery	
705598	Chronic Kidney Injury	705467	Nephrology	
705599	Clubfoot Correction	705462	Pediatrics	Pediatrics|Pediatrics and Neonatology|Ortho Surgery
705600	Colectomy	705450	Laparoscopy	
705601	Colorectal cancer	705447	Oncology	
705602	Conjuctivitis	705454	Ophthalmology	
705603	Cornea-Retina	705454	Ophthalmology	
705604	Coronary Angiogram	705449	Cardiology	
705605	Coronary Artery disease	705449	Cardiology	
705606	Crowns	705465	Dental	
705607	Deep-Vein-Thrombosis-(DVT)	705453	Vascular	
705608	Delivery	705448	Gynaecology	
705609	Dental Caries	705465	Dental	
705610	Dental Implants	705465	Dental	
705611	Dental-Aligners	705465	Dental	
705612	Dentures	705465	Dental	
705613	Deviated nasal septum	705455	ENT	
705614	Diabetic-Ulcers	705459	General Surgery	
705615	Dilatation & Curettage	705448	Gynaecology	
705616	Dilution and Evacuation	705448	Gynaecology	
705617	Disc prolapse	705446	Orthopaedic	
705618	DJ stent removal	705452	Urology	
705619	Endometriosis	705448	Gynaecology	
705620	Enlarged-Prostate	705452	Urology	
705621	Enlarged-Prostate-(BPH)	705452	Urology	
705622	ENT	705455	ENT	
705623	Epidural Hematoma	705451	Neurosurgery	
705624	Eyelid surgery	705458	Aesthetic	Plastic Surgery|Ophthalmology
705625	Family Planning	705448	Gynaecology	
705626	female-infertility	705456	Fertility	Reproductive Medicine|IVF & Gynec|OBG|AyurVaid OBG
705627	Fertility	705456	Fertility	Reproductive Medicine|IVF & Gynec|OBG|AyurVaid OBG
705628	FESS	705455	ENT	
705629	Fissure	705460	Proctology	
705630	Fistula	705460	Proctology	
705631	Fractures	705446	Orthopaedic	
705632	Gallstones	705450	Laparoscopy	
705633	Glaucoma	705454	Ophthalmology	
705634	Gynaecology	705448	Gynaecology	
705635	Gynecomastia	705458	Aesthetic	Plastic Surgery|General Surgery
705636	Hair-Transplant	705458	Aesthetic	Hair Transplant|Hair Transplant & Dermataology
705637	Hymenoplasty	705458	Aesthetic	Plastic Surgery|OBG
705638	Hysterectomy	705448	Gynaecology	
